shape function name	shape name	super class	set of base actions	turn angles
thin_sym_nail1	thin symmetric nail1	hexagon	line_0.7, line_0.316, line_0.316, line_0.7, line_0.316, line_0.316	L0--L18.435--L143.13--L18.435--L18.435--L143.13
thin_sym_nail2	thin symmetric nail2	hexagon	line_0.5, line_0.316, line_0.316, line_0.5, line_0.51, line_0.51	L0--L18.435--L143.13--L18.435--L11.31--L157.38
thin_sym_nail3	thin symmetric nail3	hexagon	line_0.5, line_0.51, line_0.316, line_0.5, line_0.51, line_0.316	L0--L11.31--L150.255--L18.435--L11.31--L150.255
thin_sym_nail4	thin symmetric nail4	pentagon	line_0.9, line_0.51, line_0.316, line_0.5, line_0.632	L0--L11.31--L150.255--L18.435--L18.435
thin_sym_nail5	thin symmetric nail5	pentagon	line_1.0, line_0.172, line_0.243, line_0.538, line_0.415	L0--L26.565--L135--L18.435--L21.801
thin_sym_nail6	thin symmetric nail6	pentagon	line_0.9, line_0.31, line_0.506, line_0.7, line_0.16	L0--L14.931--L155.978--L9.09--L90
thin_sym_nail7	thin symmetric nail7	pentagon	line_0.9, line_0.31, line_0.31, line_0.9, line_0.16	L0--L14.931--L150.137--L14.931--L90
open_triangle1	open triangle1	quadrangle*	line_0.8, line_0.8, line_0.8	L0--L90--L90
open_triangle2	open triangle2	quadrangle*	line_0.9, line_0.5, line_0.9	L0--L90--L90
open_triangle3	open triangle3	quadrangle*	line_0.5, line_0.4, line_0.7	L0--L45--L135
open_triangle4	open triangle4	quadrangle*	line_0.3, line_0.6, line_0.4	L0--L60--L120
open_triangle5	open triangle5	quadrangle*	line_0.6, line_0.848, line_0.6	L0--R135--L135
open_triangle6	open triangle6	quadrangle*	line_0.5, line_1.0, line_0.5	L0--R120--L120
open_triangle7	open triangle7	triangle*	line_0.5, line_0.5, line_0.9	L0--L120--L120
open_triangle8	open triangle8	triangle*	line_0.848, line_0.6, line_1.0	L0--L135--L90
open_triangle9	open triangle9	triangle*	line_1.0, line_0.577, line_0.9	L0--L150.0--L60.0
open_triangle10	open triangle10	triangle*	line_1.0, line_0.732, line_1.0	L0--L150.0--L75.0
bala_two_intersect_circles_new1	balanced two intersect circles new1	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R180.0--R105.0--L180.0
bala_two_intersect_circles_new2	balanced two intersect circles new2	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R150.0--R105.0--L150.0
bala_two_intersect_circles_new3	balanced two intersect circles new3	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R120.0--R105.0--L120.0
bala_two_intersect_circles_new4	balanced two intersect circles new4	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R90.0--R105.0--L90.0
medium_intersect_circle	medium linersection of two circles	arc	arc_0.5_120.0, arc_0.5_120.0	L0--L60.0
open_line_s_new1	open line s new1	arc	arc_0.5_60.0, line_0.4, arc_0.5_-60.0	L0--L0.0--L180.0
open_line_s_new2	open line s new2	arc	line_0.3, arc_0.5_45.0, arc_0.5_-45.0, line_0.3	L0--L0.0--L180.0--L180
open_s_new1	open s new1	arc	arc_0.5_75.0, arc_0.5_-75.0	L0--L180.0
open_s_new2	open s new2	arc	arc_0.5_105.0, arc_0.5_-105.0	L0--L180.0
thin_three_sides1	thin three_sides1	quadrangle*	line_1.0, line_0.14, arc_0.5_60.0, arc_0.5_60.0, line_0.14	L0--L90.0--L60.0--R60.0--L60.0
thin_three_sides2	thin three_sides2	quadrangle*	line_1.0, line_0.2, arc_0.5_-60.0, arc_0.5_-60.0, line_0.2	L0--L90.0--R60.0--L60.0--R60.0
thin_three_sides3	thin three_sides3	triangle	line_0.9, line_0.912, line_0.15	L0--L170.538--L99.462
arc_three_lines1	arc three_lines1	arc	line_0.4, arc_0.5_90, line_0.4, arc_0.5_90.0, line_0.4	L0--L0--L0--L0--L0
arc_three_lines2	arc three_lines2	arc	line_0.3, arc_0.5_60, line_0.3, arc_0.5_60.0, line_0.3	L0--L0--L0--L0--L0
two_parts_three_lines1	two_parts three_lines1	sector*	line_0.707, arc_0.5_90, line_0.5, arc_0.5_60.0, line_0.5	L0--L135--R135--L90--L90
two_parts_three_lines2	two_parts three_lines2	sector*	line_0.707, arc_0.5_90, line_0.5, arc_0.5_60.0, line_0.5	L0--L135--L45--L90--L90
two_parts_three_lines3	two_parts three_lines3	sector*	line_0.707, arc_0.5_90, line_0.5, arc_0.5_90.0, line_0.5	L0--L135--R155--L90--L90
two_parts_three_lines4	two_parts three_lines4	sector*	line_0.707, arc_0.5_90, line_0.5, arc_0.5_90.0, line_0.5	L0--L135--L15--L90--L90
two_parts_three_lines5	two_parts three_lines5	sector*	line_0.866, arc_0.5_120, line_0.5, arc_0.5_60.0, line_0.5	L0--L120--L30--L90--L90
two_parts_three_lines6	two_parts three_lines6	sector*	line_1.0, arc_0.5_180, line_0.5, arc_0.5_60.0, line_0.5	L0--L90--L0--L90--L90
exist_triangle_three_lines1	exist_triangle three_lines1	arc	arc_0.5_90, arc_0.5_90, line_0.5, line_0.5, line_0.707	L0--L90--L0--L90--L135
exist_triangle_three_lines2	exist_triangle three_lines2	arc	arc_0.5_90, arc_0.5_90, line_0.5, line_0.5, line_0.5	L0--L90--L0--L120--L120
exist_triangle_three_lines3	exist_triangle three_lines3	arc	arc_0.5_90, arc_0.5_90, line_0.5, line_0.5, line_0.866	L0--L90--L0--L60--L150
exist_triangle_three_lines4	exist_triangle three_lines4	arc	arc_0.5_120, arc_0.5_120, line_0.5, line_0.5, line_0.866	L0--L60--L35--L60--L150
exist_triangle_three_lines5	exist_triangle three_lines5	arc	arc_0.5_120, arc_0.5_120, line_0.2, line_0.2, line_0.224	L0--L60--R30--L90--L135
exist_triangle_three_lines6	exist_triangle three_lines6	arc	arc_0.5_120, arc_0.5_120, line_0.2, line_0.2, line_0.2	L0--L60--R30--L120--L120
exist_triangle_three_lines7	exist_triangle three_lines7	arc	arc_0.5_120, arc_0.5_120, line_0.2, line_0.2, line_0.2	L0--L60--R90--L120--L120
exist_triangle_three_lines8	exist_triangle three_lines8	arc	arc_0.5_120, arc_0.5_120, line_0.2, line_0.2, line_0.346	L0--L60--L0--L60--L150
exist_triangle_three_lines9	exist_triangle three_lines9	arc	arc_0.5_120, arc_0.5_120, line_0.2, line_0.2, line_0.346	L0--L60--R45--L60--L150
no_acute_angle_four_lines1	no_acute_angle four_lines1	quadrangle*	line_0.6, line_0.6, line_0.6, line_0.6	L0--L72--L72--L72
no_acute_angle_four_lines2	no_acute_angle four_lines2	quadrangle*	line_0.6, line_0.6, line_0.6, line_1.0	L0--L90--L90--L90
no_acute_angle_four_lines3	no_acute_angle four_lines3	quadrangle*	line_0.3, line_0.6, line_0.3, line_1.0	L0--L90--L90--L90
no_acute_angle_four_lines4	no_acute_angle four_lines4	quadrangle*	line_0.6, line_0.3, line_0.6, line_1.0	L0--L90--L90--L90
no_acute_angle_four_lines5	no_acute_angle four_lines5	quadrangle*	line_0.13, line_0.8, line_0.13, line_1.0	L0--L90--L90--L90
no_acute_angle_four_lines6	no_acute_angle four_lines6	sector*	line_0.5, line_0.5, line_0.5, line_0.5, arc_0.5_180	L0--R90--L90--L90--L0
no_acute_angle_four_lines7	no_acute_angle four_lines7	sector*	line_0.2, line_0.5, line_0.8, line_0.5, arc_0.5_180	L0--R90--L90--L90--L0
no_acute_angle_four_lines8	no_acute_angle four_lines8	sector*	line_0.8, line_0.5, line_0.2, line_0.5, arc_0.5_180	L0--R90--L90--L90--L0
no_acute_angle_four_lines9	no_acute_angle four_lines9	sector*	line_0.25, line_0.707, line_0.25, line_0.5, arc_0.5_180	L0--R45--L45--L90--L0
exist_quadrangle_five_lines1	exist_quadrangle five_lines1	sector*	arc_0.5_180, line_1.0, line_0.68, line_0.68, line_0.68, line_0.68	L0--L90--R150--L90--L90--L90
exist_quadrangle_five_lines2	exist_quadrangle five_lines2	sector*	arc_0.5_180, line_1.0, line_0.2, line_0.2, line_0.2, line_0.2	L0--L90--R150--L90--L90--L90
exist_quadrangle_five_lines3	exist_quadrangle five_lines3	sector*	arc_0.5_180, line_1.0, line_0.5, line_0.15, line_0.5, line_0.15	L0--L90--R150--L90--L90--L90
exist_quadrangle_five_lines4	exist_quadrangle five_lines4	sector*	arc_0.5_180, line_1.0, line_1.0, line_0.707, line_0.5, line_0.5	L0--L90--R150--L135--L45--L90
exist_quadrangle_five_lines5	exist_quadrangle five_lines5	sector*	arc_0.5_180, line_1.0, line_0.4, line_0.283, line_0.2, line_0.2	L0--L90--R150--L135--L45--L90
exist_quadrangle_five_lines6	exist_quadrangle five_lines6	sector*	arc_0.5_180, line_1.0, line_1.0, line_0.4, line_1.0, line_0.4	L0--L90--R150--L45--L135--L45
exist_quadrangle_five_lines7	exist_quadrangle five_lines7	sector*	arc_0.5_180, line_1.0, line_0.5, line_0.2, line_0.5, line_0.2	L0--L90--R150--L45--L135--L45
exist_quadrangle_five_lines8	exist_quadrangle five_lines8	sector*	arc_0.5_180, line_1.0, line_0.225, line_0.225, line_0.4, line_0.4	L0--L90--R120--R61.93--L150.02--L121.89
exist_quadrangle_five_lines9	exist_quadrangle five_lines9	sector*	line_0.894, arc_0.5_106.26, line_0.894, line_0.5, line_0.5	L0--L100.305--L100.305--R116.565--R73.74
exist_quadrangle_five_lines10	exist_quadrangle five_lines10	sector*	line_0.721, arc_0.5_106.26, line_0.922, line_0.707, line_0.361	L0--L93.81--L114.341--R122.471--R101.31
exist_quadrangle_five_lines11	exist_quadrangle five_lines11	sector*	line_0.721, arc_0.5_106.26, line_0.566, line_0.3, line_0.361	L0--L93.81--L81.87--R45--R146.31
exist_quadrangle_five_lines12	exist_quadrangle five_lines12	sector*	line_0.849, arc_0.5_106.26, line_0.849, line_0.224, line_0.224	L0--L81.87--L81.87--R108.435--R53.13
no_obtuse_angle_six_lines1	no_obtuse_angle six_lines1	sector*	line_1.0, arc_0.5_90.0, line_1.0, line_0.5, line_0.5	L0--L90.0--L90.0--R90.0--R90.0
no_obtuse_angle_six_lines2	no_obtuse_angle six_lines2	sector*	line_0.7, arc_0.5_90.0, line_0.7, line_0.2, line_0.2	L0--L90.0--L90.0--R90.0--R90.0
no_obtuse_angle_six_lines3	no_obtuse_angle six_lines3	sector*	line_0.8, arc_0.5_90.0, line_0.65, line_0.3, line_0.15	L0--L90.0--L90.0--R90.0--R90.0
no_obtuse_angle_six_lines4	no_obtuse_angle six_lines4	sector*	line_0.924, arc_0.5_90.0, line_0.924, line_0.721, line_0.583, line_0.316	L0--L90.0--L90.0--R101.31--R154.654--L139.399
no_obtuse_angle_six_lines5	no_obtuse_angle six_lines5	sector*	line_0.712, arc_0.5_90.0, line_0.712, line_0.361, line_0.292, line_0.158	L0--L90.0--L90.0--R101.31--R154.654--L139.399
no_obtuse_angle_six_lines6	no_obtuse_angle six_lines6	sector*	line_0.924, arc_0.5_90.0, line_0.924, line_0.424, line_0.3, line_0.3	L0--L90.0--L90.0--R90--R135--L90
no_obtuse_angle_six_lines7	no_obtuse_angle six_lines7	sector*	line_0.712, arc_0.5_90.0, line_0.712, line_0.212, line_0.15, line_0.15	L0--L90.0--L90.0--R90--R135--L90
necked_six_lines1	necked six_lines1	arc	arc_0.5_90, line_0.217, line_0.4, line_0.269, arc_0.5_120, line_0.269, line_0.4, line_0.217	L0--L90--R45--R60--L90--L90--R60--R45
necked_six_lines2	necked six_lines2	arc	arc_0.5_90, line_0.217, line_0.2, line_0.269, arc_0.5_120, line_0.269, line_0.2, line_0.217	L0--L90--R45--R60--L90--L90--R60--R45
necked_six_lines3	necked six_lines3	arc	arc_0.5_90, line_0.359, line_0.4, line_0.385, arc_0.5_120, line_0.385, line_0.4, line_0.359	L0--L90--R45--R60--L90--L90--R60--R45
necked_six_lines4	necked six_lines4	arc	arc_0.5_90, line_0.359, line_0.2, line_0.385, arc_0.5_120, line_0.385, line_0.2, line_0.359	L0--L90--R45--R60--L90--L90--R60--R45
necked_six_lines5	necked six_lines5	arc	arc_0.5_90, line_0.217, line_0.4, line_0.217, arc_0.5_90, line_0.217, line_0.4, line_0.217	L0--L90--R45--R45--L90--L90--R45--R45
necked_six_lines6	necked six_lines6	arc	arc_0.5_90, line_0.217, line_0.2, line_0.217, arc_0.5_90, line_0.217, line_0.2, line_0.217	L0--L90--R45--R45--L90--L90--R45--R45
necked_six_lines7	necked six_lines7	arc	arc_0.5_90, line_0.359, line_0.4, line_0.359, arc_0.5_90, line_0.359, line_0.4, line_0.359	L0--L90--R45--R45--L90--L90--R45--R45
necked_six_lines8	necked six_lines8	arc	arc_0.5_90, line_0.359, line_0.2, line_0.359, arc_0.5_90, line_0.359, line_0.2, line_0.359	L0--L90--R45--R45--L90--L90--R45--R45
necked_six_lines9	necked six_lines9	arc	arc_0.5_120, line_0.269, line_0.4, line_0.269, arc_0.5_120, line_0.269, line_0.4, line_0.269	L0--L90--R60--R60--L90--L90--R60--R60
necked_six_lines10	necked six_lines10	arc	arc_0.5_120, line_0.269, line_0.2, line_0.269, arc_0.5_120, line_0.269, line_0.2, line_0.269	L0--L90--R60--R60--L90--L90--R60--R60
necked_six_lines11	necked six_lines11	arc	arc_0.5_120, line_0.385, line_0.4, line_0.385, arc_0.5_120, line_0.385, line_0.4, line_0.385	L0--L90--R60--R60--L90--L90--R60--R60
necked_six_lines12	necked six_lines12	arc	arc_0.5_120, line_0.385, line_0.2, line_0.385, arc_0.5_120, line_0.385, line_0.2, line_0.385	L0--L90--R60--R60--L90--L90--R60--R60
necked_six_lines13	necked six_lines13	quadrangle*	arc_0.5_90, line_0.25, line_0.4, line_0.25, arc_0.5_90, line_0.25, line_0.4, line_0.25	L0--R45--R90--R90--R45--R45--R90--R90
necked_six_lines14	necked six_lines14	quadrangle*	arc_0.5_90, line_0.25, line_0.8, line_0.25, arc_0.5_90, line_0.25, line_0.8, line_0.25	L0--R45--R90--R90--R45--R45--R90--R90
necked_six_lines15	necked six_lines15	quadrangle*	arc_0.5_90, line_0.354, line_0.65, line_0.25, arc_0.5_90, line_0.25, line_0.4, line_0.25	L0--L0--R135--R90--R45--R45--R90--R90
necked_six_lines16	necked six_lines16	quadrangle*	arc_0.5_90, line_0.354, line_0.95, line_0.25, arc_0.5_90, line_0.25, line_0.7, line_0.25	L0--L0--R135--R90--R45--R45--R90--R90
necked_six_lines17	necked six_lines17	quadrangle*	arc_0.5_90, line_0.354, line_0.65, line_0.25, arc_0.5_90, line_0.354, line_0.65, line_0.25	L0--L0--R135--R90--R45--L0--R135--R90
necked_six_lines18	necked six_lines18	quadrangle*	arc_0.5_90, line_0.354, line_0.85, line_0.25, arc_0.5_90, line_0.354, line_0.85, line_0.25	L0--L0--R135--R90--R45--L0--R135--R90
necked_six_lines19	necked six_lines19	quadrangle*	arc_0.5_90, line_0.354, line_0.9, line_0.354, arc_0.5_90, line_0.25, line_0.4, line_0.25	L0--L0--R135--R135--L0--R45--R90--R90
necked_six_lines20	necked six_lines20	quadrangle*	arc_0.5_90, line_0.354, line_0.9, line_0.354, arc_0.5_90, line_0.354, line_0.65, line_0.25	L0--L0--R135--R135--L0--L0--R135--R90
necked_six_lines21	necked six_lines21	quadrangle*	arc_0.5_90, line_0.354, line_0.9, line_0.354, arc_0.5_90, line_0.354, line_0.9, line_0.354	L0--L0--R135--R135--L0--L0--R135--R135
necked_eight_lines1	necked eight_lines1	octagon*	arc_0.5_120, line_0.385, line_0.4, line_0.385, line_0.5, line_0.5, line_0.385, line_0.4, line_0.385	L0--L90--R60--R60--L120--L60--L120--R60--R60
necked_eight_lines2	necked eight_lines2	octagon*	arc_0.5_120, line_0.385, line_0.2, line_0.385, line_0.5, line_0.5, line_0.385, line_0.2, line_0.385	L0--L90--R60--R60--L120--L60--L120--R60--R60
necked_eight_lines3	necked eight_lines3	octagon*	arc_0.5_120, line_0.269, line_0.4, line_0.269, line_0.5, line_0.5, line_0.269, line_0.4, line_0.269	L0--L90--R60--R60--L120--L60--L120--R60--R60
necked_eight_lines4	necked eight_lines4	octagon*	arc_0.5_120, line_0.269, line_0.2, line_0.269, line_0.5, line_0.5, line_0.269, line_0.2, line_0.269	L0--L90--R60--R60--L120--L60--L120--R60--R60
necked_eight_lines5	necked eight_lines5	octagon*	arc_0.5_120, line_0.385, line_0.4, line_0.385, line_0.5, line_1.0, line_0.385, line_0.4, line_0.385	L0--L90--R60--R60--L60--L120--L120--R60--R60
necked_eight_lines6	necked eight_lines6	octagon*	arc_0.5_120, line_0.385, line_0.2, line_0.385, line_0.5, line_1.0, line_0.385, line_0.2, line_0.385	L0--L90--R60--R60--L60--L120--L120--R60--R60
necked_eight_lines7	necked eight_lines7	octagon*	arc_0.5_120, line_0.269, line_0.4, line_0.269, line_0.5, line_1.0, line_0.269, line_0.4, line_0.269	L0--L90--R60--R60--L60--L120--L120--R60--R60
necked_eight_lines8	necked eight_lines8	octagon*	arc_0.5_120, line_0.269, line_0.2, line_0.269, line_0.5, line_1.0, line_0.269, line_0.2, line_0.269	L0--L90--R60--R60--L60--L120--L120--R60--R60
necked_eight_lines9	necked eight_lines9	octagon*	arc_0.5_90, line_0.217, line_0.4, line_0.3, line_0.577, line_0.577, line_0.3, line_0.4, line_0.217	L0--L90--R45--R90--L150--L60--L150--R90--R45
necked_eight_lines10	necked eight_lines10	octagon*	arc_0.5_90, line_0.217, line_0.2, line_0.3, line_0.577, line_0.577, line_0.3, line_0.2, line_0.217	L0--L90--R45--R90--L150--L60--L150--R90--R45
necked_eight_lines11	necked eight_lines11	octagon*	arc_0.5_90, line_0.359, line_0.4, line_0.4, line_0.577, line_0.577, line_0.4, line_0.4, line_0.359	L0--L90--R45--R90--L150--L60--L150--R90--R45
necked_eight_lines12	necked eight_lines12	octagon*	arc_0.5_90, line_0.359, line_0.2, line_0.4, line_0.577, line_0.577, line_0.4, line_0.2, line_0.359	L0--L90--R45--R90--L150--L60--L150--R90--R45
thin_seven_lines1	thin seven_lines1	heptagon*	line_1.0, line_0.25, line_0.25, line_0.15, line_0.3, line_0.335	L0--L143.13--L73.74--R126.87--L90--L26.565
thin_seven_lines2	thin seven_lines2	heptagon*	line_1.0, line_0.15, line_0.427, line_0.15, line_0.3, line_0.335	L0--L90--L110.556--R110.556--L90--L26.565
thin_seven_lines3	thin seven_lines3	heptagon*	line_1.0, line_0.427, line_0.15, line_0.292, line_0.35, line_0.15	L0--L159.444--L110.556--R120.946--L30.946--L90
thin_seven_lines4	thin seven_lines4	heptagon*	line_1.0, line_0.15, line_0.427, line_0.212, line_0.5, line_0.292	L0--L90--L110.556--R155.556--L135--L30.946
thin_seven_lines5	thin seven_lines5	heptagon*	line_0.85, line_0.212, line_0.57, line_0.212, line_0.6, line_0.15	L0--L45--L150.255--R150.255--L135--L90
thin_seven_lines6	thin seven_lines6	heptagon*	line_0.85, line_0.212, line_0.57, line_0.212, line_0.2, line_0.427	L0--L45--L150.255--R150.255--L135--L20.556
exist_triangle_eight_lines1	exist_triangle eight_lines1	octagon*	line_0.361, line_0.361, line_0.4, line_0.4, line_0.4, line_0.64, line_0.8, line_0.64	L0--L112.62--L33.69--L90--L90--R128.66--L128.66--L128.66
exist_triangle_eight_lines2	exist_triangle eight_lines2	octagon*	line_0.181, line_0.181, line_0.2, line_0.2, line_0.2, line_0.64, line_0.8, line_0.64	L0--L112.62--L33.69--L90--L90--R128.66--L128.66--L128.66
exist_triangle_eight_lines3	exist_triangle eight_lines3	octagon*	line_0.361, line_0.361, line_0.4, line_0.4, line_0.4, line_0.256, line_0.32, line_0.256	L0--L112.62--L33.69--L90--L90--R128.66--L128.66--L128.66
exist_triangle_eight_lines4	exist_triangle eight_lines4	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R90--L116.565--L108.435
exist_triangle_eight_lines5	exist_triangle eight_lines5	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R45--L116.565--L108.435
exist_triangle_eight_lines6	exist_triangle eight_lines6	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R135--L116.565--L108.435
exist_triangle_eight_lines7	exist_triangle eight_lines7	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.24, line_0.179, line_0.226	L0--R90--L135--L90--L90--R90--L116.565--L108.435
exist_triangle_eight_lines8	exist_triangle eight_lines8	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.24, line_0.179, line_0.226	L0--R90--L135--L90--L90--R45--L116.565--L108.435
exist_triangle_eight_lines9	exist_triangle eight_lines9	octagon*	line_0.283, line_0.283, line_0.4, line_0.4, line_0.4, line_0.24, line_0.179, line_0.226	L0--R90--L135--L90--L90--R135--L116.565--L108.435
exist_triangle_eight_lines10	exist_triangle eight_lines10	octagon*	line_0.142, line_0.142, line_0.2, line_0.2, line_0.2, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R90--L116.565--L108.435
exist_triangle_eight_lines11	exist_triangle eight_lines11	octagon*	line_0.142, line_0.142, line_0.2, line_0.2, line_0.2, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R45--L116.565--L108.435
exist_triangle_eight_lines12	exist_triangle eight_lines12	octagon*	line_0.142, line_0.142, line_0.2, line_0.2, line_0.2, line_0.6, line_0.447, line_0.566	L0--R90--L135--L90--L90--R135--L116.565--L108.435
thin_exist_triangle1	thin exist_triangle1	heptagon*	line_1.0, line_0.15, line_0.335, line_0.25, line_0.25, line_0.335, line_0.15	L0--L90--L116.565--R63.435--L73.74--R63.435--L116.565
thin_exist_triangle2	thin exist_triangle2	heptagon*	line_1.0, line_0.335, line_0.15, line_0.25, line_0.25, line_0.335, line_0.15	L0--L153.435--L116.565--R126.87--L73.74--R63.435--L116.565
thin_exist_triangle3	thin exist_triangle3	heptagon*	line_1.0, line_0.335, line_0.15, line_0.25, line_0.25, line_0.15, line_0.335	L0--L153.435--L116.565--R126.87--L73.74--R126.87--L116.565
thin_exist_triangle4	thin exist_triangle4	heptagon*	line_1.0, line_0.212, line_0.212, line_0.25, line_0.25, line_0.212, line_0.212	L0--L135--L90--R81.87--L73.74--R81.87--L90
no_two_parts_sector1	no_two_parts sector1	sector	line_0.5, arc_0.5_58, line_0.5	L0--L90--L90
no_two_parts_sector2	no_two_parts sector2	sector	line_0.5, arc_0.5_78, line_0.5	L0--L90--L90
no_two_parts_sector3	no_two_parts sector3	sector	line_0.5, arc_0.5_108, line_0.5	L0--L90--L90
no_two_parts_sector4	no_two_parts sector4	sector	line_0.5, arc_0.5_218, line_0.5	L0--L90--L90
no_two_parts_sector5	no_two_parts sector5	sector	line_0.5, arc_0.5_248, line_0.5	L0--L90--L90
no_two_parts_sector6	no_two_parts sector6	sector	line_0.5, arc_0.5_309, line_0.5	L0--L90--L90
no_two_parts_sector7	no_two_parts sector7	octagon*	line_0.5, arc_0.5_120, line_0.5, line_0.4, line_0.4, line_0.566, line_0.566, line_0.4, line_0.4	L0--L90--L90--R150--L90--L135--R90--L135--L90
no_two_parts_sector8	no_two_parts sector8	octagon*	line_0.5, arc_0.5_60, line_0.5, line_0.4, line_0.4, line_0.566, line_0.566, line_0.4, line_0.4	L0--L90--L90--R120--L90--L135--R90--L135--L90
no_two_parts_sector9	no_two_parts sector9	octagon*	line_0.5, arc_0.5_60, line_0.5, line_0.4, line_0.4, line_0.566, line_0.566, line_0.4, line_0.4	L0--L90--L90--R90--L90--L135--R90--L135--L90
symm_trans_exist_quad1	symm_trans exist_quad1	hexagon*	line_0.51, line_0.283, line_0.51, line_0.51, line_0.283, line_0.51	L0--L56.31--R56.31--R157.38--R56.31--L56.31
symm_trans_exist_quad2	symm_trans exist_quad2	hexagon*	line_0.539, line_0.447, line_0.539, line_0.539, line_0.447, line_0.539	L0--L85.236--R85.236--R136.397--R85.236--L85.236
symm_trans_exist_quad3	symm_trans exist_quad3	hexagon*	line_0.583, line_0.632, line_0.583, line_0.583, line_0.632, line_0.583	L0--L102.529--R102.529--R118.072--R102.529--L102.529
symm_trans_exist_quad4	symm_trans exist_quad4	hexagon*	line_0.64, line_0.854, line_0.64, line_0.64, line_0.854, line_0.64	L0--L108.104--R108.104--R102.68--R108.104--L108.104
rectangle_new1	rectangle new1	quadrangle	line_1.0, line_0.8, line_1.0, line_0.8	L0--L90.0--L90.0--L90.0
rectangle_new2	rectangle new2	quadrangle	line_1.0, line_0.4, line_1.0, line_0.4	L0--L90.0--L90.0--L90.0
